id,name,parent,size
613,ICOStart,3,100
614,ICOVO,3,100
615,STX.SWISS,3,100
616,Token Factory,3,100
617,TokenCraft,3,100
618,tokengate,3,100
619,Verum Capital,3,100
620,Legal & Compliance,2,
621,"Advocatur Seeger, Frick und Partner",3,100
622,Archilex,3,100
623,Bär & Karrer,3,100
624,Comply Now,3,100
625,De la cruz beranek,3,100
626,Dr. Mattia L. Rattaggi Advisory & Consultancy,3,100
627,Erbguth,3,100
628,Froriep,3,100
629,Grunder Rechtsanwälte,3,100
630,ICO Legal Advisor,3,100
631,Jaybee,3,100
632,KYC Spider,3,100
633,Lawshift,3,100
634,Leax Avocats,3,100
635,Legal Technology Switzerland,3,100
636,LEXcellence,3,100
637,Lexpert Partners,3,100
638,Lexr,3,100
639,Meyerlustenberger Lachenal,3,100
640,MME,3,100
641,Nägele-Rechtsanwälte,3,100
642,Niederer Kraft & Frey,3,100
643,Prager Dreifuss,3,100
644,Pst Consulting,3,100
645,PwC Legal,3,100
646,Stach Rechtsanwälte,3,100
647,Structuul,3,100
648,Walder Wyss,3,100
649,Wenger & Vieli,3,100
650,"PR, Marketing & Communication",2,
651,Adconity,3,100
652,Blockchain Lab,3,100
653,Brand Leadership Circle,3,100
654,Coinounce,3,100
655,cryptomedia agency,3,100
656,FFI Ventures,3,100
657,Furrerhugi,3,100
658,Gremis,3,100
659,HYGH,3,100
660,Iconised,3,100
661,Interwerk LAB,3,100
662,Moon Bounties,3,100
663,Narwal,3,100
664,Scale Network,3,100
665,Sionik,3,100
666,The Relevance House,3,100
667,What.digital,3,100
668,Security & Encryption,2,
669,Chainsecurity,3,100
670,Crypto Insurance Swiss,3,100
671,InfoGuard,3,100
672,Inpher,3,100
673,MyWallet.ch,3,100
674,Netguardians,3,100
675,Securify,3,100
676,Securosys,3,100
677,Venture Capital,2,
678,Bellegarde Capital,3,100
679,Bitfinancial Holding,3,100
680,Blockchain Valley Ventures,3,100
681,Bochsler Finance,3,100
682,Deeptech Ventures,3,100
683,Founders Ventures,3,100
684,Fundraiso,3,100
685,Grydl Analytics,3,100
686,Hyperion Capital,3,100
687,Innmind,3,100
688,Investiere,3,100
689,Lakeside Partners,3,100
690,Pangea,3,100
691,Redalpine Ventures,3,100
692,SICTIC,3,100
693,Wemakeit,3,100
694,Technology,1,
695,AI,2,
696,CogniPet,3,100
697,CryptoScore,3,100
698,Demiurge Technologies,3,100
699,HumanAI,3,100
700,Localflow,3,100
701,Mindfire,3,100
702,ORS,3,100
703,Pandora Boxchain,3,100
704,UBEX,3,100
705,Velas,3,100
706,Vimana,3,100
707,Communication & Collaboration,2,
708,Akasha International,3,100
709,AKN,3,100
710,Covee Network,3,100
711,Experty.io,3,100
712,Gmelius,3,100
713,HARDAH,3,100
714,Ibt,3,100
715,ODEM,3,100
716,Sharekey,3,100
717,"Community, P2P & Loyalty",2,
718,Adjoint,3,100
719,Bitnation,3,100
720,Flov technologies,3,100
721,Friendz,3,100
722,Gambio Service,3,100
723,Heymate,3,100
724,Heymate,3,100
725,Impresso Labs,3,100
726,JOINto,3,100
727,JUR,3,100
728,KontraHub,3,100
729,LoyaltyCoin,3,100
730,Matchpool,3,100
731,Momentum,3,100
732,Qiibee,3,100
733,Repay.me,3,100
734,Rightmesh,3,100
735,Shopiblock,3,100
736,SwarmCity,3,100
737,UbiatarPlay,3,100
738,Wings,3,100
739,Yes we Trust,3,100
740,Data & Analytics,2,
741,Ambitorio,3,100
742,Blockchain Intelligence Group,3,100
743,CBN Foundation,3,100
744,Crypto Potential,3,100
745,Datum Network,3,100
746,Essentia One,3,100
747,Gordon.Now,3,100
748,Holo.host,3,100
749,IP exchange,3,100
750,NCloud,3,100
751,OVCODE,3,100
752,PetSource,3,100
753,Santiment,3,100
754,Streamr,3,100
755,SwissTruth,3,100
756,Hardware & Infrastructure,2,
757,CoinGarden,3,100
758,Cooby,3,100
759,CoreLedger Labs,3,100
760,Cryptium Labs,3,100
761,Deon Digital,3,100
762,ETCDEV,3,100
763,Golem,3,100
764,Indenodes,3,100
765,Indus Finch Group,3,100
766,Ipso Microelectronics,3,100
767,Lamden,3,100
768,Optherium,3,100
769,Particl.io,3,100
770,Proxeus,3,100
771,Race-Cap Corporate,3,100
772,Safekee,3,100
773,ShiftDevice,3,100
774,Sirin Labs,3,100
775,Swiss Blockchain Technology,3,100
776,Swissmine,3,100
777,IoT,2,
778,Airbie,3,100
779,Cajutel,3,100
780,sustainCHAIN,3,100
781,Symbioses,3,100
782,Mining,2,
783,Bitmain,3,100
784,Blockchain Mining,3,100
785,Eco Energy Blockchain Solutions,3,100
786,Helvetic Mine,3,100
787,Hive Blockchain Switzerland,3,100
788,Invemo,3,100
789,Life Quality Management,3,100
790,MineCrypt,3,100
791,Swiss Alps Mining,3,100
792,Swiss Mining Space,3,100
793,Unity Investment,3,100
794,Platform &  Protocol,2,
795,ABC Platform,3,100
796,Aerum,3,100
797,Aeternity,3,100
798,Agoora Labs,3,100
799,Aragon,3,100
800,Aragon One,3,100
801,Bancor,3,100
802,Block Collider,3,100
803,Boscoin,3,100
804,Cardano,3,100
805,Cardstack,3,100
806,Coinnect,3,100
807,Concordium,3,100
808,ConsenSys,3,100
809,Core-chain,3,100
810,Cosmos Network,3,100
811,DEZOS,3,100
812,Dfinity Foundation,3,100
813,DIA,3,100
814,Elrond,3,100
815,Ethereum,3,100
816,everiToken,3,100
817,Feathercoin Development Foundation,3,100
818,FidelityHouse,3,100
819,Grain,3,100
820,Gravity,3,100
821,HDAC,3,100
822,High Performance Blockchain (HPB),3,100
823,Humanized Internet,3,100
824,ICON,3,100
825,INCX,3,100
826,Intello,3,100
827,Intellos,3,100
828,IXO,3,100
829,Jelurida,3,100
830,Kaze Blockchain solution,3,100
831,KryptoPal,3,100
832,Lisk,3,100
833,LongHash Switzerland,3,100
834,Monetha,3,100
835,Multiverse,3,100
836,Nimiq,3,100
837,Noku,3,100
838,Obyte,3,100
839,Orbi Network,3,100
840,Pool of Stake,3,100
841,Quant Network,3,100
842,Raiden Network,3,100
843,Status,3,100
844,Tezos,3,100
845,Token Commons Network,3,100
846,Truebit,3,100
847,Trustwise,3,100
848,Vereign,3,100
849,VeriICO,3,100
850,Waves Platform,3,100
851,Web3,3,100
